Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
6.0,9.0,Cyanistes caeruleus,Eurasian Blue Tit,0.2548,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074500.wav,51.407777,-0.646617
12.0,15.0,Erithacus rubecula,European Robin,0.2622,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074500.wav,51.407777,-0.646617
24.0,27.0,Regulus regulus,Goldcrest,0.6601,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074500.wav,51.407777,-0.646617
30.0,33.0,Regulus regulus,Goldcrest,0.3638,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074500.wav,51.407777,-0.646617
39.0,42.0,Regulus regulus,Goldcrest,0.2634,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074500.wav,51.407777,-0.646617
42.0,45.0,Regulus regulus,Goldcrest,0.4863,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_074500.wav,51.407777,-0.646617
3.0,6.0,Regulus ignicapilla,Common Firecrest,0.2631,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075000.wav,51.407777,-0.646617
33.0,36.0,Regulus ignicapilla,Common Firecrest,0.5637,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075000.wav,51.407777,-0.646617
36.0,39.0,Regulus ignicapilla,Common Firecrest,0.6383,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075000.wav,51.407777,-0.646617
39.0,42.0,Regulus ignicapilla,Common Firecrest,0.9618,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075000.wav,51.407777,-0.646617
42.0,45.0,Regulus ignicapilla,Common Firecrest,0.5970,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075000.wav,51.407777,-0.646617
51.0,54.0,Regulus ignicapilla,Common Firecrest,0.4995,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075000.wav,51.407777,-0.646617
24.0,27.0,Regulus ignicapilla,Common Firecrest,0.8914,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
33.0,36.0,Turdus iliacus,Redwing,0.2887,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
42.0,45.0,Regulus ignicapilla,Common Firecrest,0.4376,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
45.0,48.0,Certhia familiaris,Eurasian Treecreeper,0.7767,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
48.0,51.0,Regulus ignicapilla,Common Firecrest,0.6385,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_075500.wav,51.407777,-0.646617
